,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
453,0.118408203125,0.04204919061749081,0.004933881759643555,0.005722418203560152,8,3,10,50,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 100}",0.3707049989035478,0.3453792473720293,0.3579152565631596,0.4413727866839944,0.27004430357850473,0.3570833186202471,0.05477906925856044,709
454,0.4390860557556152,0.01041086758488019,0.021909093856811522,0.007693812805777945,8,3,10,50,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 500}",0.377847531463558,0.34424042050298853,0.3485275302688796,0.44129241338514025,0.28076186889146737,0.35853395290240675,0.05210548476329247,702
455,0.8755335807800293,0.017611757815776792,0.033785009384155275,0.005069423115158627,8,3,10,50,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 1000}",0.3787605308046865,0.3461780253224298,0.3489081180796626,0.44029656256245253,0.2827301533707349,0.3593746780279933,0.051151239211202536,696
456,0.10316853523254395,0.012523514670150938,0.0,0.0,8,3,25,5,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 5, 'n_estimators': 100}",0.35563384314994784,0.339121082504963,0.3412409300477256,0.42517182471267256,0.26865319332946347,0.3459641747489545,0.049826657724098666,765
457,0.4219404697418213,0.032725489069571914,0.015625476837158203,4.398806631373906e-06,8,3,25,5,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 5, 'n_estimators': 500}",0.36099427162229636,0.33411598264526376,0.337702903460559,0.42499026417247543,0.2740255960515904,0.346365803590437,0.04869087688137911,745
458,0.8406230449676514,0.0955068684980122,0.03124513626098633,5.150282805556162e-06,8,3,25,5,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 5, 'n_estimators': 1000}",0.3613900138245131,0.33454427910713835,0.3354751737182391,0.42643884786410424,0.2762146027986926,0.34681258346253746,0.04861268658238485,729
459,0.08124465942382812,0.006250658257600897,0.0031242847442626955,0.00624856948852539,8,3,25,10,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 10, 'n_estimators': 100}",0.35563384314994784,0.339121082504963,0.3412409300477256,0.42517182471267256,0.26865319332946347,0.3459641747489545,0.049826657724098666,765
460,0.44993247985839846,0.04678616643433454,0.015621089935302734,5.7864537884416185e-06,8,3,25,10,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 10, 'n_estimators': 500}",0.36099427162229636,0.33411598264526376,0.337702903460559,0.42499026417247543,0.2740255960515904,0.346365803590437,0.04869087688137911,745
461,0.8470195770263672,0.03202620976659973,0.03749966621398926,0.012499214090380786,8,3,25,10,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 10, 'n_estimators': 1000}",0.3613900138245131,0.33454427910713835,0.3354751737182391,0.42643884786410424,0.2762146027986926,0.34681258346253746,0.04861268658238485,729
462,0.09061713218688965,0.01169166089741631,0.006247949600219726,0.007652145703754059,8,3,25,25,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 25, 'n_estimators': 100}",0.35563384314994784,0.339121082504963,0.3412409300477256,0.42517182471267256,0.26865319332946347,0.3459641747489545,0.049826657724098666,765
463,0.44063005447387693,0.04001814075589426,0.015624189376831054,6.948746197489498e-06,8,3,25,25,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 25, 'n_estimators': 500}",0.36099427162229636,0.33411598264526376,0.337702903460559,0.42499026417247543,0.2740255960515904,0.346365803590437,0.04869087688137911,745
464,0.787609052658081,0.032151269831851445,0.040612649917602536,0.012496583759200014,8,3,25,25,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 25, 'n_estimators': 1000}",0.3613900138245131,0.33454427910713835,0.3354751737182391,0.42643884786410424,0.2762146027986926,0.34681258346253746,0.04861268658238485,729
465,0.09377036094665528,0.009883187861910777,0.003123950958251953,0.006247901916503906,8,3,25,50,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 100}",0.35563384314994784,0.339121082504963,0.3412409300477256,0.42517182471267256,0.26865319332946347,0.3459641747489545,0.049826657724098666,765
466,0.42187862396240233,0.027937219838230415,0.018748950958251954,0.006248976781996223,8,3,25,50,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 500}",0.36099427162229636,0.33411598264526376,0.337702903460559,0.42499026417247543,0.2740255960515904,0.346365803590437,0.04869087688137911,745
467,0.8414528846740723,0.05860574989682877,0.030490922927856445,0.0015349503546639577,8,3,25,50,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 25, 'min_samples_split': 50, 'n_estimators': 1000}",0.3613900138245131,0.33454427910713835,0.3354751737182391,0.42643884786410424,0.2762146027986926,0.34681258346253746,0.04861268658238485,729
468,0.07815384864807129,0.017119593814129662,0.009375381469726562,0.007654969209958116,8,3,50,5,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 100}",0.30747441533885855,0.29596799509946126,0.2956890624271521,0.3713764911956675,0.24254795569767473,0.3026111839517628,0.041114371240977415,841
469,0.40000205039978026,0.03650003571297922,0.015618228912353515,7.259209531396891e-06,8,3,50,5,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 500}",0.31469315824845945,0.29264807500935774,0.2970065750677996,0.3751891113078949,0.24880450400627419,0.3056682847279572,0.040969828663873276,817
470,0.8380424022674561,0.06289630703143413,0.03125996589660644,0.00988206707289194,8,3,50,5,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 5, 'n_estimators': 1000}",0.31564060559042373,0.2973799722203262,0.2983411735689442,0.37611859590681584,0.251359907187648,0.3077680508948316,0.040280096802330786,793
471,0.08142271041870117,0.015274109751992023,0.00937952995300293,0.007658354767250974,8,3,50,10,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 100}",0.30747441533885855,0.29596799509946126,0.2956890624271521,0.3713764911956675,0.24254795569767473,0.3026111839517628,0.041114371240977415,841
472,0.37937173843383787,0.03663278943503711,0.014513349533081055,0.0022261697753666325,8,3,50,10,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 500}",0.31469315824845945,0.29264807500935774,0.2970065750677996,0.3751891113078949,0.24880450400627419,0.3056682847279572,0.040969828663873276,817
473,0.8063986778259278,0.044942034627683786,0.034361743927001955,0.006247467565014259,8,3,50,10,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 1000}",0.31564060559042373,0.2973799722203262,0.2983411735689442,0.37611859590681584,0.251359907187648,0.3077680508948316,0.040280096802330786,793
474,0.09061608314514161,0.02295694563555515,0.0,0.0,8,3,50,25,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 50, 'min_samples_split': 25, 'n_estimators': 100}",0.30747441533885855,0.29596799509946126,0.2956890624271521,0.3713764911956675,0.24254795569767473,0.3026111839517628,0.041114371240977415,841
